Customer ID,Name,Email,Phone,Address,City,Country,Zip Code,Subscribed
66048-76475-LN,Diane Campos,vanessa89@example.org,(241) 465-9376,15781 Hamilton Ridge Apt. 877,Huntington Beach,United States,92647,Yes
84080-16097-VP,Michele Brown,johnponce@example.net,(566) 797-4578,15871 Arnold Squares Apt. 858,Houston,United States,77001,Yes
39894-71965-KP,Collin Lopez,thomas12@example.org,(833) 456-9725,86848 Melissa Springs,Huntington Beach,United States,92605,No
96947-75159-HF,Gabriela Lee,dennisdave@example.org,(301) 947-2208,56012 Brandon Ports Apt. 013,Pasadena,United States,91106,No
99161-51090-ML,Karen Acosta,gilesandrew@example.com,(303) 562-8113,1314 Graham Circle,Anaheim,United States,92812,Yes
87091-63457-KK,Christina Saunders,meganpeterson@example.com,(653) 733-5267,720 Maldonado Port,Santa Monica,United States,90408,Yes
84564-28071-VV,Douglas Allen,sbell@example.net,(936) 608-1018,924 Goodman Village Apt. 093,New York City,United States,10003,Yes
52337-69606-SK,Matthew Williams,sbrown@example.org,(947) 533-2031,789 Nicole Park Suite 470,Burbank,United States,91505,Yes
63812-06650-NA,April Carson,leecharlene@example.org,(756) 658-2494,2176 Andrew Mission Apt. 428,Santa Monica,United States,90403,Yes
51240-00348-UX,Susan Williams,djoseph@example.net,(311) 508-5769,8236 Smith Drive Suite 555,Torrance,United States,90504,No
15900-42294-XZ,Beverly Wilson PhD,parkermelody@example.net,(817) 760-5712,6546 Cory Orchard,Torrance,United States,90502,Yes
75517-17604-VV,Brittney Jackson,odrake@example.org,(789) 447-5756,33060 Phillip Path,Glendale,United States,91206,Yes
47793-61534-LX,Corey Wilson,leachshannon@example.net,(872) 466-8807,76430 Cindy Cove,Los Angeles,United States,90020,Yes
37658-21972-KZ,Jenny Boyd,martha73@example.net,(239) 282-9857,55508 Nancy Rapids,Pasadena,United States,91104,Yes
26947-11801-OI,Adrian Anthony,michelle27@example.com,(734) 441-4525,809 Erika Valley Apt. 634,Torrance,United States,90503,No
89676-99300-VL,Kelly Cook,theath@example.com,(661) 704-6855,0223 Blair Isle Apt. 076,Glendale,United States,91205,Yes
27912-56097-YD,John Hernandez,georgedavid@example.com,(845) 543-4119,853 Logan Tunnel,Anaheim,United States,92814,Yes
71097-95194-YI,Jasmine Carter,stonekristen@example.org,(580) 374-6448,7537 Clarke Club,Long Beach,United States,90805,Yes
00740-89933-FX,Stacy Chan,hhunter@example.org,(914) 424-1741,611 Brown Mall Apt. 076,Huntington Beach,United States,92610,No
60754-15115-SB,Christopher Greer,lorijones@example.org,(896) 275-1437,31045 Sarah Fort,Torrance,United States,90505,Yes
22717-54203-XV,Edward Giles,jack11@example.net,(600) 293-7064,62235 Joel Ferry Suite 560,Fullerton,United States,92831,No
29061-12648-AV,Leslie Evans,christopher75@example.net,(399) 389-3029,6065 Harris Hill,Fullerton,United States,92831,Yes
71214-18927-ZL,Jessica Wright,hpeterson@example.org,(757) 635-2662,1734 Maria Mission Suite 034,Los Angeles,United States,90001,No
14892-67173-IW,Mark Smith,nicole00@example.com,(558) 646-3954,967 Julie Knoll Suite 391,Long Beach,United States,90806,Yes
01448-51832-EA,Diane Taylor,amandajenkins@example.net,(916) 600-4266,447 Carroll Dam Apt. 116,Fullerton,United States,92831,Yes
69728-45763-EF,Emily Pearson,wallacedouglas@example.com,(783) 373-4332,305 Myers Branch,Phoenix,United States,94103,No
81160-50190-RO,Monica Perez,james67@example.net,(365) 550-9674,2566 Seth Station Apt. 852,Pomona,United States,91766,Yes
32756-67633-CN,Amber Price,cynthiapitts@example.com,(213) 682-7715,239 Salazar Squares,Anaheim,United States,92804,No
84567-08869-DF,John Rogers,williamsfrancisco@example.org,(597) 873-5111,021 Becker Rest Suite 837,Irvine,United States,92614,Yes
35919-15587-UQ,Andrew Wood,mollyreed@example.org,(543) 956-1748,448 Scott Key Apt. 048,Anaheim,United States,92802,Yes
